number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
26,0.48051990395995026,2026-08-14 23:54:17.162298,2026-08-14 23:54:19.002317,0 days 00:00:01.840019,0.9715947600246222,0.33561485292112075,0.12148519696821722,6,4,150,0.005472155003711648,0.20987350045267186,0.6474379904261929,PRUNED
27,0.506902290310432,2026-08-14 23:54:19.004344,2026-08-14 23:54:24.961440,0 days 00:00:05.957096,0.8775301090921462,0.6483345466015263,0.08614836796207544,8,8,250,0.0019682695995523374,0.7211678972313776,0.7775862039006399,COMPLETE
28,0.5105350773918769,2026-08-14 23:54:24.965482,2026-08-14 23:54:36.985596,0 days 00:00:12.020114,0.7285316438961214,0.3081829259266046,0.047477578296171545,7,2,500,0.01367363563869791,0.33549596419835914,0.683145643719088,COMPLETE
29,0.5116396488508994,2026-08-14 23:54:36.987600,2026-08-14 23:54:45.501296,0 days 00:00:08.513696,0.8075685874741316,0.01365857626377401,0.14644116461508316,8,3,350,0.1405276865620689,0.1612335636673429,0.8111212619873504,COMPLETE
30,0.4733478017805265,2026-08-14 23:54:45.503319,2026-08-14 23:54:48.711411,0 days 00:00:03.208092,0.9415025604559947,0.2501875799841746,0.08053623739702685,7,10,300,0.027249094678241496,0.32012869667571464,0.6326606831981985,PRUNED
31,0.5061432293648226,2026-08-14 23:54:48.713038,2026-08-14 23:54:57.455313,0 days 00:00:08.742275,0.7949495184685141,0.005096907614608526,0.14126997271716635,8,3,350,0.4247090017807714,0.16279686111513147,0.8336171504477798,COMPLETE
32,0.5076281577039663,2026-08-14 23:54:57.460835,2026-08-14 23:55:05.117026,0 days 00:00:07.656191,0.8478119925995147,0.23051315868328281,0.15556714510459319,8,3,500,0.16783583455213247,0.6031623042802914,0.8031912272095859,COMPLETE
33,0.5082619792625644,2026-08-14 23:55:05.121539,2026-08-14 23:55:14.065501,0 days 00:00:08.943962,0.7003532312949872,0.007493164662142471,0.1154446843333572,8,5,450,0.0013940154500035249,1.0559108190529938,0.858186559605416,COMPLETE
34,0.5035750112565619,2026-08-14 23:55:14.069513,2026-08-14 23:55:21.041644,0 days 00:00:06.972131,0.8060357590585714,0.5767535228801903,0.09480412878695213,7,3,400,0.1460746898478049,0.2104641605625911,0.7447044543808121,COMPLETE
35,0.5150709058713037,2026-08-14 23:55:21.043724,2026-08-14 23:55:33.169086,0 days 00:00:12.125362,0.740287060725525,0.18599044276902835,0.051125563321085574,8,1,350,0.003849370485032301,0.2749161276354384,0.8023261781274106,COMPLETE
36,0.5065256389839613,2026-08-14 23:55:33.171594,2026-08-14 23:55:43.393716,0 days 00:00:10.222122,0.709053595815101,0.3909740240994478,0.024946822766969384,6,1,550,0.00475503988134379,0.28691181415509476,0.659876678797032,COMPLETE
37,0.5037466461202044,2026-08-14 23:55:43.395721,2026-08-14 23:55:47.133288,0 days 00:00:03.737567,0.741630527727162,0.17870533092815613,0.040003561672694254,8,7,150,0.003050466444980339,0.3746386557681801,0.6026795420384926,PRUNED
38,0.5085371393641865,2026-08-14 23:55:47.137302,2026-08-14 23:55:55.781650,0 days 00:00:08.644348,0.7462548739210401,0.6657079732198956,0.053780151192068436,8,1,300,0.0012606779496430116,0.2253369964384824,0.7909517337773816,COMPLETE
39,0.49402865051871836,2026-08-14 23:55:55.785683,2026-08-14 23:56:00.713454,0 days 00:00:04.927771,0.6388303087511908,0.9535537226450921,0.009992382063331988,7,2,200,0.009319748188084504,1.2926900080090094,0.7593107695891348,PRUNED
40,0.5085192606886886,2026-08-14 23:56:00.733414,2026-08-14 23:56:09.013498,0 days 00:00:08.280084,0.6913734008798749,0.18826222064930628,0.029806830075996146,8,7,450,0.01494997643360426,0.5979463724216342,0.7130467022302425,COMPLETE
41,0.48270576807886134,2026-08-14 23:56:09.017509,2026-08-14 23:56:13.117300,0 days 00:00:04.099791,0.8535314797537941,0.13771245330521517,0.172658370039302,8,4,350,0.04543031615497337,0.1419540104442808,0.8553183942719719,PRUNED
42,0.5047884753871744,2026-08-14 23:56:13.119305,2026-08-14 23:56:19.791549,0 days 00:00:06.672244,0.8037188997227054,0.44993927130813954,0.06620034938448645,7,2,250,0.23317680641064278,0.2665217795845026,0.8002674634176887,PRUNED
43,0.5132327222742136,2026-08-14 23:56:19.797121,2026-08-14 23:56:30.384383,0 days 00:00:10.587262,0.7578869068699705,0.13525161676082176,0.05109434399040716,8,3,400,0.0003934744759424407,0.381471680293573,0.8177802957037794,COMPLETE
44,0.49473717541545037,2026-08-14 23:56:30.386386,2026-08-14 23:56:32.630684,0 days 00:00:02.244298,0.7425005056487604,2.580716638349989,0.047504666526288035,2,1,400,0.0001765301324206432,0.8048526415831623,0.8286007158175006,PRUNED
45,0.5010278118065499,2026-08-14 23:56:32.631690,2026-08-14 23:56:42.383656,0 days 00:00:09.751966,0.673845554227551,0.14491527944458182,0.0523888769452745,8,5,450,0.00039496775405956807,0.38282753007197656,0.8615907507624149,PRUNED
46,0.506450832847048,2026-08-14 23:56:42.387667,2026-08-14 23:56:57.089650,0 days 00:00:14.701983,0.7198188909249114,0.3152160617236744,0.03897170286579551,8,2,550,0.002239937436457214,0.28009866863815513,0.7842971086915197,COMPLETE
47,0.5056509018054453,2026-08-14 23:56:57.092704,2026-08-14 23:56:59.526775,0 days 00:00:02.434071,0.7576681894731521,0.47989562601109903,0.06779093147512391,7,6,100,0.00010447298941612543,0.5994237695961951,0.6643126339035974,PRUNED
48,0.5139557023875462,2026-08-14 23:56:59.531293,2026-08-14 23:57:10.987314,0 days 00:00:11.456021,0.7827022843502703,0.16927015599827833,0.030740637732432352,8,3,400,0.0011739517169756886,1.0006887549026777,0.7490668935485978,COMPLETE
49,0.5070262402375759,2026-08-14 23:57:10.991566,2026-08-14 23:57:22.133570,0 days 00:00:11.142004,0.8208820206786352,1.2853892835102667,0.015218602062660075,7,1,400,0.001202105979908362,2.014239558214723,0.9385448512112797,COMPLETE
50,0.4933785816932043,2026-08-14 23:57:22.137580,2026-08-14 23:57:25.117169,0 days 00:00:02.979589,0.8927143072560111,2.102664884571735,0.03140398377572183,3,3,400,0.00048196233907432765,0.9141538636803913,0.7420803047793175,PRUNED
51,0.5084507206634038,2026-08-14 23:57:25.121690,2026-08-14 23:57:39.014757,0 days 00:00:13.893067,0.7780664335058911,0.12321436540532586,0.024557811273923327,8,4,500,0.0002748766434565389,1.187259239319563,0.8222461093437871,COMPLETE
52,0.5116532933300594,2026-08-14 23:57:39.016761,2026-08-14 23:57:48.960137,0 days 00:00:09.943376,0.759329987842771,0.25330432987152446,0.04199587798525139,8,2,300,0.0043473113081007025,0.41245642608582744,0.7628404430798986,COMPLETE
53,0.5099226511265752,2026-08-14 23:57:48.962645,2026-08-14 23:58:02.019959,0 days 00:00:13.057314,0.8305642875796594,0.14529470504225012,0.019217530317723355,8,5,450,0.0008534090984371809,0.5064473325699534,0.8429622962009876,COMPLETE
54,0.49431801864683117,2026-08-14 23:58:02.022473,2026-08-14 23:58:09.948153,0 days 00:00:07.925680,0.7823694366421242,0.5356488391630567,0.07224725728900487,8,6,350,0.006026394792664361,0.242829181823968,0.6398655756024029,PRUNED
55,0.49862446570101926,2026-08-14 23:58:09.952665,2026-08-14 23:58:12.704689,0 days 00:00:02.752024,0.7314283501031462,0.3653876730495073,0.03435365179393054,7,3,100,0.0032657790197943904,3.3976713152044407,0.6181847096923062,PRUNED
56,0.5144391730692287,2026-08-14 23:58:12.708224,2026-08-14 23:58:21.798869,0 days 00:00:09.090645,0.7702351799924895,0.11956752535381507,0.05886712737077643,8,1,250,0.0016371043098597716,0.33573420839168244,0.7938093887769769,COMPLETE
57,0.5027947833950557,2026-08-14 23:58:21.802383,2026-08-14 23:58:29.549710,0 days 00:00:07.747327,0.6584803101942831,0.677018868118722,0.053251060134032815,8,1,250,0.0001959644529333491,0.3103140547881144,0.7914771391016852,PRUNED
58,0.4791678293392835,2026-08-14 23:58:29.552727,2026-08-14 23:58:31.642408,0 days 00:00:02.089681,0.9408235142561364,0.0925730052201227,0.029442387794914687,7,13,150,0.0006591587897037704,1.4093298363041804,0.8810783213089425,PRUNED
59,0.5134824991715939,2026-08-14 23:58:31.644151,2026-08-14 23:58:38.434547,0 days 00:00:06.790396,0.7190206141548048,0.42595668420916194,0.06239360621609612,8,1,200,0.0015607152924911113,0.19154518160569176,0.7220998111424864,COMPLETE
