number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
45,0.5326105747226846,2026-08-02 17:34:09.932605,2026-08-02 17:34:14.636742,0 days 00:00:04.704137,0.669622716522246,2.616263427290859,0.00842597142231006,4,3,600,0.9884822372352914,6.298574442382624,0.6828158942166234,PRUNED
46,0.5330989658935775,2026-08-02 17:34:14.638746,2026-08-02 17:34:21.128611,0 days 00:00:06.489865,0.6555124451759542,2.2392650683584314,0.006326942533758108,5,2,600,0.00020745402346080766,8.576752721548964,0.6925796083756045,COMPLETE
47,0.5274866636550427,2026-08-02 17:34:21.131508,2026-08-02 17:34:25.489178,0 days 00:00:04.357670,0.7280378350951723,1.8056866012309238,0.01022769459033166,4,2,550,0.26921006466301256,6.283505604437746,0.9988351488554443,PRUNED
48,0.5353872362479981,2026-08-02 17:34:25.491183,2026-08-02 17:34:28.484233,0 days 00:00:02.993050,0.8921561346518588,2.4759794406200424,0.01244673027553517,5,5,250,3.8218707250226895,0.11549781704581279,0.7101584467402468,COMPLETE
49,0.5069569013930155,2026-08-02 17:34:28.486238,2026-08-02 17:34:29.607124,0 days 00:00:01.120886,0.9145963131920342,2.474244110659037,0.016992414991850877,3,5,250,3.9028273983417368,0.1089417946576464,0.7324426163210918,PRUNED
50,0.5209815289936139,2026-08-02 17:34:29.609130,2026-08-02 17:34:30.299638,0 days 00:00:00.690508,0.8927143072560111,2.7179909913085853,0.012467289512277501,4,1,100,2.212971071862479,0.2368476891774214,0.6177876537205184,PRUNED
51,0.5208380963458578,2026-08-02 17:34:30.303647,2026-08-02 17:34:32.637649,0 days 00:00:02.334002,0.938517379131522,2.0346707501310686,0.0073124936856557785,5,3,300,1.1187361247210534,0.37405071044086957,0.7130836494178864,PRUNED
52,0.5240027514555613,2026-08-02 17:34:32.641471,2026-08-02 17:34:34.069741,0 days 00:00:01.428270,0.8342017806289486,2.388941190485211,0.01059587227968803,5,4,200,0.668869749960263,0.16438134185464123,0.7070697272653282,PRUNED
53,0.5203759744402284,2026-08-02 17:34:34.071744,2026-08-02 17:34:35.109464,0 days 00:00:01.037720,0.7569319249364076,2.6715578197455683,0.007973753425425008,5,5,150,4.666699302698166,0.5145743207816306,0.6554086474040169,PRUNED
54,0.522255910808634,2026-08-02 17:34:35.113474,2026-08-02 17:34:39.798288,0 days 00:00:04.684814,0.6805077864346375,2.893830096918933,0.0060444199710368435,7,3,450,0.19087343511535823,8.811495580286403,0.6812267159841685,PRUNED
55,0.5255289747238476,2026-08-02 17:34:39.800291,2026-08-02 17:34:41.495782,0 days 00:00:01.695491,0.8054566725182453,2.2624650531647355,0.11029932836346759,6,7,500,2.4501111707207346,0.8071439356619162,0.767560488281299,PRUNED
56,0.5144870249030888,2026-08-02 17:34:41.497786,2026-08-02 17:34:44.280296,0 days 00:00:02.782510,0.6481211114383614,1.5392727603670922,0.029679511459409162,5,2,400,0.001971992652572109,4.611230368472618,0.7386894221021598,PRUNED
57,0.5264161371855854,2026-08-02 17:34:44.280296,2026-08-02 17:34:49.479490,0 days 00:00:05.199194,0.8826922532194467,1.2992563690939216,0.016016334873164964,4,4,600,0.0005326182084619587,5.722503756185038,0.9194832413083063,PRUNED
58,0.5143782235669785,2026-08-02 17:34:49.483500,2026-08-02 17:34:52.322081,0 days 00:00:02.838581,0.8507827431621523,2.530004313325107,0.009190786317038471,7,6,250,0.027995418236403356,9.95158805616833,0.7891808234063786,PRUNED
59,0.4846248620164924,2026-08-02 17:34:52.326091,2026-08-02 17:34:53.906066,0 days 00:00:01.579975,0.7899306460334514,1.1185550257963681,0.005673042884545218,2,5,550,0.00029127797040629953,3.4568851079775498,0.7192448608729165,PRUNED
